IPL Edition,Date,Time,Stadium,City,Match Details,Team 1,Team 2,Team Batting,Total Runs,Total Wickets,Batsman Names,Out/Not Out,Balls Played,Runs Scored,Fours,Sixes,Strike Rate
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Conway,b Shami,6.0,1,0.0,0.0,16.67
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Ruturaj Gaikwad,c Shubman Gill b Alzarri Joseph,50.0,92,4.0,9.0,184.0
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Moeen,c W Saha b Rashid Khan,17.0,23,4.0,1.0,135.29
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Stokes,c W Saha b Rashid Khan,6.0,7,1.0,0.0,116.67
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Rayudu,b Joshua Little,12.0,12,0.0,1.0,100.0
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Shivam Dube,c Rashid Khan b Shami,18.0,19,0.0,1.0,105.56
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Ravindra Jadeja,c Vijay Shankar b Alzarri Joseph,2.0,1,0.0,0.0,50.0
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Dhoni (c & wk),not out,7.0,14,1.0,1.0,200.0
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Chennai Super Kings Innings,178,7,Santner,not out,3.0,1,0.0,0.0,33.33
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,182,5,Wriddhiman Saha (wk),c Shivam Dube b Rajvardhan Hangargekar,16.0,25,2.0,2.0,156.25
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,182,5,Shubman Gill,c Ruturaj Gaikwad b Tushar Deshpande,36.0,63,6.0,3.0,175.0
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,182,5,Sai Sudharsan,c Dhoni b Rajvardhan Hangargekar,17.0,22,3.0,0.0,129.41
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,182,5,Hardik Pandya (c),b Ravindra Jadeja,11.0,8,0.0,0.0,72.73
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,182,5,Vijay Shankar,c Santner b Rajvardhan Hangargekar,21.0,27,2.0,1.0,128.57
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,182,5,Rahul Tewatia,not out,14.0,15,1.0,1.0,107.14
2023,2023-03-31,07:30 PM,Narendra Modi Stadium,Ahmedabad,"Gujarat Titans vs Chennai Super Kings, 1st Match",Gujarat Titans,Chennai Super Kings,Gujarat Titans Innings,182,5,Rashid Khan,not out,3.0,10,1.0,1.0,333.33
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Punjab Kings Innings,191,5,Prabhsimran,c Gurbaz b Southee,12.0,23,2.0,2.0,191.67
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Punjab Kings Innings,191,5,Dhawan (c),,29.0,40,6.0,0.0,137.93
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Punjab Kings Innings,191,5,B Rajapaksa,c Rinku Singh b Umesh,32.0,50,5.0,2.0,156.25
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Punjab Kings Innings,191,5,Jitesh Sharma (wk),c Umesh b Southee,11.0,21,1.0,2.0,190.91
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Punjab Kings Innings,191,5,Raza,c Nitish Rana b Narine,13.0,16,1.0,1.0,123.08
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Punjab Kings Innings,191,5,Sam Curran,not out,17.0,26,0.0,2.0,152.94
2023,2023-04-01,03:30 PM,Punjab Cricket Association IS Bindra Stadium,Mohali,"Punjab Kings vs Kolkata Knight Riders, 2nd Match",Punjab Kings,Kolkata Knight Riders,Punjab Kings Innings,191,5,Shahrukh Khan,not out,7.0,11,2.0,0.0,157.14
